EffectGroupKey,EffectInstanceKey,ParamKey,ParamValue
BEIGE_ICE_ICE_SHIELD_EFFECTS,APPLY_ICE_BARRIER,scaling_stat,SPELL
BEIGE_ICE_ICE_SHIELD_EFFECTS,APPLY_ICE_BARRIER,coefficient,0.8
BEIGE_ICE_ICE_SHIELD_EFFECTS,APPLY_ICE_BARRIER,duration_turns,2
BEIGE_ICE_ICE_SHIELD_EFFECTS,ADD_COLD_ON_CAST,resource_key,COLD
BEIGE_ICE_ICE_SHIELD_EFFECTS,ADD_COLD_ON_CAST,amount,1
BEIGE_ICE_ICE_SHIELD_EFFECTS,BARRIER_BREAK_FROSTBITE,status_key,FROSTBITE
BEIGE_ICE_ICE_SHIELD_EFFECTS,BARRIER_BREAK_FROSTBITE,stack_delta,1
BEIGE_ICE_HAIL_EFFECTS,ADD_COLD_ON_CAST,resource_key,COLD
BEIGE_ICE_HAIL_EFFECTS,ADD_COLD_ON_CAST,amount,3
BEIGE_ICE_HAIL_EFFECTS,NORMAL_TILE_TO_ICE,tile_filter,NORMAL
BEIGE_ICE_HAIL_EFFECTS,NORMAL_TILE_TO_ICE,overlay_type,ICE
BEIGE_ICE_HAIL_EFFECTS,WATER_AREA_TO_ICE,tile_filter,WATER
BEIGE_ICE_HAIL_EFFECTS,WATER_AREA_TO_ICE,overlay_type,ICE
BEIGE_ICE_HAIL_EFFECTS,DEAL_DAMAGE_ON_HIT,base_value,10
BEIGE_ICE_HAIL_EFFECTS,DEAL_DAMAGE_ON_HIT,scaling_stat,SPELL
BEIGE_ICE_HAIL_EFFECTS,DEAL_DAMAGE_ON_HIT,coefficient,0.8
BEIGE_ICE_HAIL_EFFECTS,DEAL_DAMAGE_ON_HIT,damage_type,MAGIC
BEIGE_ICE_HAIL_EFFECTS,HIT_TARGET_FROSTBITE,status_key,FROSTBITE
BEIGE_ICE_HAIL_EFFECTS,HIT_TARGET_FROSTBITE,stack_delta,1
BEIGE_ICE_STORM_CENTER_EFFECTS,TOGGLE_STORM_AURA,aura_radius,1
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_DAMAGE_TICK,base_value,8
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_DAMAGE_TICK,scaling_stat,SPELL
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_DAMAGE_TICK,coefficient,0.6
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_DAMAGE_TICK,damage_type,MAGIC
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_FROSTBITE_TICK,status_key,FROSTBITE
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_FROSTBITE_TICK,stack_delta,1
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_COLD_TICK,resource_key,COLD
BEIGE_ICE_STORM_CENTER_EFFECTS,AURA_COLD_TICK,amount,2
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,APPLY_COLD_BACKLASH_IMMUNITY,duration_turns,3
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,APPLY_COLD_BACKLASH_IMMUNITY,status_key,BEIGE_ICE_COLD_HARD_WORKER_IGNORE_COLD_BACKLASH
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,APPLY_EMPOWERED,duration_turns,3
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,APPLY_EMPOWERED,status_key,BEIGE_ICE_COLD_HARD_WORKER_EMPOWERED
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_ICE_BOLT_DAMAGE_MODIFIER,modifier_type,DAMAGE_MULTIPLIER
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_ICE_BOLT_DAMAGE_MODIFIER,multiplier,2
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_ICE_BOLT_DAMAGE_MODIFIER,required_status_key,BEIGE_ICE_COLD_HARD_WORKER_EMPOWERED
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_ICE_SHIELD_TARGET_MODIFIER,modifier_type,EXTRA_TARGET_COUNT
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_ICE_SHIELD_TARGET_MODIFIER,extra_targets,1
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_ICE_SHIELD_TARGET_MODIFIER,required_status_key,BEIGE_ICE_COLD_HARD_WORKER_EMPOWERED
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_HAIL_SHAPE_MODIFIER,modifier_type,TARGET_SHAPE_OVERRIDE
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_HAIL_SHAPE_MODIFIER,shape,TRIANGLE_3
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_HAIL_SHAPE_MODIFIER,required_status_key,BEIGE_ICE_COLD_HARD_WORKER_EMPOWERED
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_STORM_AURA_MODIFIER,modifier_type,AURA_RADIUS_DELTA
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_STORM_AURA_MODIFIER,radius_delta,1
BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,ADD_STORM_AURA_MODIFIER,required_status_key,BEIGE_ICE_COLD_HARD_WORKER_EMPOWERED
BEIGE_ICE_THAWING_POTION_EFFECTS,HALVE_COLD_STACK,resource_key,COLD
BEIGE_ICE_THAWING_POTION_EFFECTS,HALVE_COLD_STACK,operation,MULTIPLY
BEIGE_ICE_THAWING_POTION_EFFECTS,HALVE_COLD_STACK,multiplier,0.5
BEIGE_ICE_THAWING_POTION_EFFECTS,DAMAGE_DOWN,stat_key,DAMAGE_DEALT
BEIGE_ICE_THAWING_POTION_EFFECTS,DAMAGE_DOWN,modifier_type,ADD_RATIO
BEIGE_ICE_THAWING_POTION_EFFECTS,DAMAGE_DOWN,value,-0.1
BEIGE_ICE_THAWING_POTION_EFFECTS,DAMAGE_DOWN,duration_turns,2
BEIGE_ICE_THAWING_POTION_EFFECTS,DAMAGE_DOWN,status_key,BEIGE_ICE_THAWING_POTION_DAMAGE_DOWN
BEIGE_ICE_THAWING_POTION_EFFECTS,DAMAGE_DOWN,stack_policy,REFRESH
SUEN_AXE_SWORD_STRIKE_EFFECTS,DEAL_DAMAGE,base_value,30
SUEN_AXE_SWORD_CLEAVE_EFFECTS,DEAL_DAMAGE,base_value,45
SUEN_AXE_SWORD_CRUSH_EFFECTS,DEAL_DAMAGE,base_value,35
SUEN_AXE_SWORD_EXECUTE_EFFECTS,DEAL_DAMAGE,base_value,55
SUEN_AXE_SWORD_ULTIMATE_EFFECTS,DEAL_DAMAGE,base_value,90
ZILLIAN_LONGBOW_SHOT_EFFECTS,DEAL_DAMAGE,base_value,20
ZILLIAN_LONGBOW_POWER_SHOT_EFFECTS,DEAL_DAMAGE,base_value,35
ZILLIAN_LONGBOW_PIERCE_EFFECTS,DEAL_DAMAGE,base_value,45
ZILLIAN_LONGBOW_VOLLEY_EFFECTS,DEAL_DAMAGE,base_value,30
ZILLIAN_LONGBOW_ULTIMATE_EFFECTS,DEAL_DAMAGE,base_value,80
ALEN_SPEAR_THRUST_EFFECTS,DEAL_DAMAGE,base_value,25
ALEN_SPEAR_LUNGE_EFFECTS,DEAL_DAMAGE,base_value,35
ALEN_SPEAR_SWEEP_EFFECTS,DEAL_DAMAGE,base_value,45
ALEN_SPEAR_IMPALE_EFFECTS,DEAL_DAMAGE,base_value,30
ALEN_SPEAR_ULTIMATE_EFFECTS,DEAL_DAMAGE,base_value,80
